id,length,comment,sentiment
1,92,මේවා ඇත්තටම වැදගත් දත්ත නම් එකෙන් ප්රයෝජන අරන් සතුරා අඩපන නොකර මොන මොඩයද ඒවා ප්රසිද්ධ කරන්නේ,negative
10,77,පුටින් හිටියේ නැතිනම් බොට පෙනෙයි ඇමෙරිකාවයි යුරෝපෙයි ලෝකේ වටේ දාන සෙල්ලම් ටික,neutral
10000,13,මොලේ බලව ගනිං,negative
10004,44,අයිතිකරු කවුද ජනතාවට සියළු තොරතුරු ලබාදෙන්න.,neutral
10010,44,වස විසෙන් තොරව කන්න බොන්න දෙයක්නම් නෑ වාගෙයි,negative
10015,84,ඕවා කරන එවුන් ට පනුවෝ ගහන්න ඕන. මිනිසුන්ට වස විස කවනවට. ඊට පස්සේ වකුගඩු අමාරු පිලිකා,negative
1002,83,බාහිර සමාජයෙන් බෝවෙලා රට ඉදන් ආව කියල ලංකාවේ ඇතුලෙන් නොහැදී තියෙනවා කියලා එකක් නෑනේ,negative
10020,36,හොදට තිබුණු රටක් අපි වැවැටිච්ච තැනක්,negative
10021,71,රියදුරාගේ කාමරයේ තිබි කේරළ ගංජා මිලිග්රෑම් 4940 ක් අම්මෝ හෙන තොගයක් නේද,negative
10025,25,එතැන ට වෙනතුරු ආවෙ කොහොමද,neutral
10026,62,ජනාධිපතිතුමා පාරෙන් එන්නේ නැතුව හෙලිකොප්ටරයක් භාවිතා කල යුතුයි,neutral
10028,43,පිටුපස පිවිසුමට කැමති කතක් වෙන්නත් පුලුවන්.,neutral
10029,83,කෝ එතකොට ඕක බුද්ධි අංශ මගින් කල් ඇතිව දැනුම් දීලා තිබුණේ නැද්ද එතකොට රටේ ආරක්ෂාව කෝ,neutral
10031,34,ඒවා බල්ලට ගිහින් කියලා දන්නෙ නැද්ද,negative
10032,43,ආරක්ෂක ක්රමවේදය යලි යලිත් සමාලෝචනය කල යුතුය,neutral
10036,47,සැකකාරිය පොලිසියේ රඳවාගෙන ප්රශ්න කරගෙන යන බවයි.,neutral
10040,37,මෙහෙම පිං බිමක් ලෝකෙ කොහෙවත් නෑලු ඕයි,positive
10045,61,බියර් බොන්න තහනම් ද 18 ට අඩුනම් අපිනම් ඕවා තොල ගාවෙ දෙක වසරදි,negative
10046,65,බියර් බොන්න තහනම් ද 18 ට අඩුනම් නීතියක් තියෙද් සාදාචාර ප්රශනෙ ඇර.,negative
10047,8,පාරෙ බෑ.,negative
10049,84,විනෝද වෙමින් ගිය සිසුවියන් තිදෙනා සිය බාරයට ගෙන පොලිස් ස්ථානය වෙත රැගෙන විත් තිබිණි.,neutral
10051,25,මේකද මේ රටේ ලොකුම ප්රශ්නය,negative
10059,59,තැඹිලි පොවාගෙන උපවාසය අත්හැරීම සාමාන්ය දෙයක්. තවත් මොන කතාද,positive
10060,80,මං හිතන්නේ එයාල ඔක්කොටම හොඳටම බඩගිනි වෙලා. යහපාලන කාලෙම හරිහමන් කෑමක් ලැබුණෙ නෑ.,negative
10065,67,නීතිඥවරුන් සෝදිසි කරන්න එපා කියන්නේ එයාල මෙයාලට මොනව හරි අරගෙන එනවද,neutral
10066,6,නියමය්,positive
10075,38,මෙයාලවත් පාර්ලිමෙන්තුවට ගන්ඩ බැදි සැර්,neutral
10080,46,හොද මොනවහරි දින්නම් හරිනෙ.කුඩු නෙමේනෙ ඉල්ලන්නේ,positive
10084,42,නීතිඥවරුන් බන්ධනාගාරයට එන විට පරීක්ෂා කරන.,neutral
10085,36,උබේ කොමෙන්ටුවටම ගැලපෙන නම පශු සම්පත්,positive
10089,48,ඇත්තම කියාපං මචෝ. බොට අම්මා දාපු නම ගව සම්පත නේද,negative
10097,29,එහෙම කරන්න වෙලා තියෙන්නෙ ඇයි.,neutral
10100,36,අඳකරණය සුවාධීන කොරා අපේ හාමුදුරුවනේ.,positive
10102,27,දුමින්ද කුසලානය ගන්නේ කවුද.,neutral
10103,52,දැන් ඉතින් නඩුත් හාමුදුරුවන් ගෙ බඩුත් හාමුදුරුවන් ගෙ,negative
10106,86,කුමන හෝ නිමිත්තක් ඇතුව සාංඝික දානයක් පිරිනැමීම මහත් පලයි. මහානිසන්සයි. සාදු සාදු සාදු.,positive
10107,44,මාව මරල දානයක් දීපියෝ. මෙව්ව බලල ඉන්න බැරියෝ,negative
10118,49,දුන්නෙ හාමුදුරුවන්ට නිසා මොකුත් කියන්නෙ නෑ.නෑමයි.,neutral
10122,90,හෙට අනිද්ද රෝ කාරයෝ මෙහෙ ඵන්න ඉඩ තියෙනව මේ බඩ්ඩ නිසාද අර යෝදයා සිය දිවි ගත්තේ කිල හොයන්න.,negative
10127,24,අපේ හාමුදුරුවන්ටත් හිනා.,positive
10130,67,පිළිමෙකුත් හදල රාජ්පුත් හංදිය කියල එකකුත් දාගත්තනම් වැඩේ තවත් හොදයි,positive
10132,86,මැරෙන්න කලින් ලංකාවට ඇවිත් තිබුන නම් ලංකාවෙත් අනාගතේ සුශාන්ත් සිංග් කෙනෙක් ඉන්න තිබුණා,neutral
10140,89,එක එක නම් වලින් ඇවිත් හැම එකකටම බැනල කරන්නෙ උබ දානෙට සහබාගී වුන එකෙක් නේද පු නොදී හිටපන්.,negative
10142,83,මළ කෝලං. සල්මන් ඛාන් හරි ෂාරුක් ඛාන් හරි මැරුණොත් මෙයා සති පූජාවත් කරන්න ඉඩ තියෙනව.,negative
